Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
10000102,MEDICAL EMERGENCY,2010-01-12T13:38:00Z,Inactive,2010-01-12T12:53:00Z,,Animal Sciences,3940 Fair St.,UNL ACADEMIC BUILDING,0,0,A male subject had a seizure at Animal Science. Transported to Bryan LGH West for further treatment
10000105,MEDICAL EMERGENCY,2010-01-12T14:46:00Z,Inactive,2010-01-12T14:46:00Z,,Ferguson Hall,"1130 ""S"" St.",UNL ACADEMIC BUILDING,0,0,"Person may have broken their ankle on stairwell inside Ferguson Hall, transported to Bryan-LGH by LFR."
10000111,NARCOTICS - POSSESSION,2010-01-12T20:40:00Z,Cleared By Exception,2010-01-12T20:40:00Z,,Selleck Quad,600 N. 15th St.,UNL RESIDENCE HALL,0,0,"Narcotics in Selleck Hall, person contacted no citations written."
10000113,VANDALISM - OTHER,2010-01-12T21:21:00Z,Cleared By Arrest,2010-01-12T21:21:00Z,,Innovation Campus,1800 State Fair Park Drive,GOVT. PARKING LOT (UNL),0,500,Witness observed a person vandalizing a vehicle after a basketball game.  Suspect developed.
10000115,TRAFFIC - SUSPENDED DRIVER,2010-01-13T02:57:00Z,Cleared By Arrest,2010-01-13T02:57:00Z,,N/A,Holdrege Street and N. 40th Street,STREET,0,0,Non-student cited and lodged for Driving Under Suspension.
10000119,LOST OR STOLEN ITEM,2010-01-13T12:37:00Z,Inactive,,,Burnett Hall,"1220 ""T"" St.",UNL ACADEMIC BUILDING,0,0,A UNL student reported her N-Card lost/stolen from Burnett Hall last semester.
10000112,DISTURBANCE - OTHER,2010-01-13T16:00:00Z,Inactive,2010-01-12T13:00:00Z,,Canfield Administration Building,"""R"" Street and N. 14th Street","UNL SUPPORT FACILITY (office, service)",0,0,UNL student made a threatening remark to a UNL employee.
10000121,VANDALISM - OTHER,2010-01-13T16:02:00Z,Inactive,2010-01-12T22:30:00Z,2010-01-13T11:00:00Z,The Courtyards,733 N. 17th St.,UNL APARTMENT,0,2,"Damage to bulletin board with designs honoring Martin Luther King, Jr., $2.00 damage."
10000127,LOST OR STOLEN ITEM,2010-01-13T21:22:00Z,Inactive,2010-01-13T16:15:00Z,,Nebraska Union,"1400 ""R"" St.","UNL SUPPORT FACILITY (office, service)",370,0,Backpack and contents therein reported missing after being left unattended.
10000130,TRAFFIC - SUSPENDED DRIVER,2010-01-14T02:28:00Z,Cleared By Arrest,2010-01-14T02:28:00Z,,N/A,N. 17th Street and Vine Street,STREET,0,0,Non-student cited and released for Driving Under Suspension.
10000132,LARCENY - FROM MOTOR VEHICLE,2010-01-14T09:03:00Z,Cleared By Exception,2010-01-11T11:00:00Z,2010-01-13T15:30:00Z,N/A,,UNKNOWN,190,0,"Item taken from vehicle while parked at several different locations, $190.00 loss."
10000133,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-14T09:27:00Z,Inactive,2010-01-14T06:52:00Z,2010-01-14T07:46:00Z,N/A,1120 Avery Ave.,UNKNOWN,0,1500,"Hit and Run accident in the 1120 Avery Ave parking lot, $1500.00 damage."
10000136,ACCIDENTS - P.D. NOT REPORTABLE,2010-01-14T10:56:00Z,Inactive,2010-01-14T10:56:00Z,,University Health Center,"1500 ""U"" St.",GOVT. PARKING LOT (UNL),0,400,"Two vehicle non-injury accident in the parking lot of the Health Center, $400.00 damage."
10000139,DISTURBANCE - OTHER,2010-01-14T16:38:00Z,Inactive,2010-01-14T23:00:00Z,2010-01-14T06:00:00Z,The Courtyards,733 N. 17th St.,UNL APARTMENT,0,0,A UNL student received an odd item outside of her dorm room during the overnight hours.
10000138,LOST OR STOLEN ITEM,2010-01-14T16:40:00Z,Inactive,2010-01-14T15:45:00Z,2010-01-14T16:05:00Z,Morrill Hall,"1335 ""U"" St.",MUSEUM,20,0,Stolen N card from an unattended backpack.
10000140,LARCENY - FROM MOTOR VEHICLE,2010-01-14T21:33:00Z,Inactive,2010-01-13T16:39:00Z,2010-01-14T18:30:00Z,N/A,320 N. 18th St.,GOVT. PARKING LOT (UNL),130,50,Car stereo and cables stolen from a locked vehicle.
10000143,ALCOHOL - MINOR IN POSSESSION,2010-01-14T22:50:00Z,Cleared By Arrest,2010-01-14T22:50:00Z,,Union-East,1705 Arbor Drive,"UNL SUPPORT FACILITY (office, service)",0,0,UNL student found to be extremely intoxicated and unable to care for self while at a RSO dance.  .237 BAC
10000145,NARCOTICS - POSSESSION,2010-01-15T02:15:00Z,Cleared By Arrest,2010-01-15T02:15:00Z,,Schramm Hall,1130 N. 14th St.,UNL RESIDENCE HALL,0,0,UNL student cited for Poss of Marijuana > 1 oz and Poss of Drug Paraphernalia after an odor of burnt marijuana was discovered in the hallway.
10000147,ALCOHOL - DRUNK,2010-01-15T02:32:00Z,Cleared By Exception,2010-01-15T02:32:00Z,,N/A,"N. 16th Street and ""U"" Street",SIDEWALK,0,0,UNL student observed lying on the sidewalk and found to be intoxicated and unable to care for self.  Transported to Detox.  .230 BAC
10000146,FIRE - FALSE ALARM,2010-01-15T02:35:00Z,Inactive,2010-01-15T02:30:00Z,2010-01-15T02:35:00Z,Sandoz Hall,820 N. 17th St.,UNL RESIDENCE HALL,0,0,Unknown person(s) opened a fire water valve causing water to flow onto the floor. No damage.
10000148,DISTURBANCE - OTHER,2010-01-15T08:29:00Z,Inactive,2010-01-14T15:45:00Z,,Ross McCollum Hall,1875 N. 42nd St.,UNL ACADEMIC BUILDING,0,0,Law college employees concerned over a female frequenting the building asking for legal assistance.
10000149,LOST OR STOLEN ITEM,2010-01-15T11:10:00Z,Cleared By Exception,2010-01-14T14:00:00Z,2010-01-14T16:00:00Z,College of Business Admin.,512 N. 12th St.,UNL ACADEMIC BUILDING,69.5,0,Student reports that his wallet was lost inside CBA either first floor or in the basement. $62 loss.
10000150,VANDALISM - OTHER,2010-01-15T11:40:00Z,Cleared By Exception,2010-01-12T19:45:00Z,2010-01-12T22:00:00Z,14th & Avery Parking Garage,1111 N. 14th St.,GOVT. PARKING GARAGE (UNL),0,328,Two tires slashed while vehicle was parked in the 14th & Avery Garage. $164 damage. No suspects
10000154,ALCOHOL - BUY/PROCURE FOR MINORS,2010-01-15T21:07:00Z,Cleared By Arrest,2010-01-15T21:07:00Z,2010-01-15T21:07:00Z,Innovation Campus,1800 State Fair Park Drive,SPORT FACILITIES,0,0,"Three UNL students contacted for intoxication at Lincoln Stars game.  One cited for MIP, Minor Misrepresent Age, Poss of False ID, & Procuring for Minor.  Two cited for MIP.  All three taken to Detox.  .089, .126, .177 BAC's."
10000156,NARCOTICS - POSSESSION,2010-01-15T23:19:00Z,Cleared By Arrest,2010-01-15T23:19:00Z,,The Courtyards,733 N. 17th St.,UNL RESIDENCE HALL,0,0,"Two UNL students and three non-students cited for MIP, one cited for Poss of Marijuana < 1 oz, and another cited for Poss of Marijuana < 1 oz & Poss of Drug Paraphernalia.  .016, .012, .061, .050, & .000 BAC's."
10000157,FIRE - FALSE ALARM,2010-01-16T00:12:00Z,Inactive,2010-01-16T00:12:00Z,,Sandoz Hall,820 N. 17th St.,UNL RESIDENCE HALL,0,0,False fire alarm activated by a pull station in the basement.
10000159,NARCOTICS - POSSESSION,2010-01-16T01:21:00Z,Cleared By Arrest,2010-01-16T01:21:00Z,,Phi Gamma Delta,"1425 ""R"" St.",STREET,0,0,Two non-students contacted after behavior consistent with narcotics.  One cited for Poss of Drug Paraphernalia; the other cited for Poss of Marijuana < 1 oz.  Both also cited for MIP-C.  .165 & .224 BAC.
10000161,DISTURBANCE - OTHER,2010-01-16T02:47:00Z,Cleared By Exception,2010-01-16T02:47:00Z,,Sigma Alpha Epsilon,635 N. 16th St.,SIDEWALK,0,0,Physical altercation between several members of Sigma Alpha Epsilon and Sigma Nu.
10000162,ALCOHOL - MINOR IN POSSESSION,2010-01-16T04:11:00Z,Cleared By Arrest,2010-01-16T04:11:00Z,,N/A,515 N. 19th St.,GOVT. PARKING LOT (UNL),0,0,UNL student and non-student cited for MIP-C after being contacted in the parking lot.  .084 & .023 BAC's.
10000164,LARCENY - FROM MOTOR VEHICLE,2010-01-16T21:03:00Z,Inactive,2010-01-16T19:05:00Z,2010-01-16T20:45:00Z,Innovation Campus,1800 State Fair Park Drive,GOVT. PARKING LOT (UNL),120,100,Purse and contents stolen from a vehicle.
10000168,ALCOHOL - MINOR IN POSSESSION,2010-01-17T01:28:00Z,Cleared By Arrest,2010-01-17T01:28:00Z,,N/A,"N. 16th Street and ""U"" Street",SIDEWALK,0,0,UNL student cited/released for MIP-C (.169 BAC).
10000171,VANDALISM - OTHER,2010-01-17T19:13:00Z,Inactive,2010-01-17T00:00:00Z,2010-01-17T20:30:00Z,University Health Center,"1500 ""U"" St.",GOVT. PARKING LOT (UNL),0,150,"Vandalism to vehicle broken tail light, while parked in the Health Center lot, $150.00 damage."
10000172,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-17T19:16:00Z,Inactive,2010-01-17T18:15:00Z,2010-01-17T19:16:00Z,N/A,745 N. 14th St.,GOVT. PARKING LOT (UNL),0,300,"Hit and Run accident in the area 10 Loop 14th and Vine Street, $300.00 damage."
10000176,LARCENY - FROM MOTOR VEHICLE,2010-01-18T01:02:00Z,Inactive,2010-01-17T02:14:00Z,2010-01-18T01:02:00Z,Innovation Campus,1800 State Fair Park Drive,GOVT. PARKING LOT (UNL),0,200,Vehicle window broken out and items stolen from inside the car.
10000177,ALCOHOL - MINOR IN POSSESSION,2010-01-18T01:46:00Z,Cleared By Arrest,2010-01-18T01:46:00Z,,Sandoz Hall,820 N. 17th St.,UNL RESIDENCE HALL,0,0,Two UNL students cited for MIP-Consumption (.026 BAC & .165 BAC). One was taken to detox.
10000178,ALCOHOL - MINOR IN POSSESSION,2010-01-18T02:38:00Z,Cleared By Arrest,2010-01-18T02:38:00Z,,Smith Hall,1120 N. 14th St.,UNL RESIDENCE HALL,0,0,Two persons cited for MIP in Harper Hall.
10000180,ALCOHOL - MINOR IN POSSESSION,2010-01-18T03:25:00Z,Cleared By Arrest,2010-01-18T03:25:00Z,,Abel Hall,880 N. 17th St.,UNL RESIDENCE HALL,0,0,UNL student cited/released for MIP-Consumption.
10000181,NARCOTICS - SALE/DELIVER,2010-01-18T04:33:00Z,Closed - Cleared By Arrest-Adult,2010-01-18T04:33:00Z,,Abel Hall,880 N. 17th St.,UNL RESIDENCE HALL,0,0,Two UNL students lodged in jail for Poss. with Intent to Deliver. One UNL student cited/released for Poss. of Marijuana.
10000194,VANDALISM - OTHER,2010-01-19T09:27:00Z,Inactive,2010-01-15T17:00:00Z,2010-01-19T07:00:00Z,Whittier Building,2200 Vine St.,GOVT. LOT/FIELD (UNL),0,125,A card reader was damaged at Whitter Building
10000195,LARCENY - FROM BUILDING,2010-01-19T09:49:00Z,Inactive,2010-01-16T12:15:00Z,2010-01-19T07:45:00Z,College of Dentistry,3975 Potter St.,UNL ACADEMIC BUILDING,100,25,A picture was stolen from the faculty area at the College of Dentistry.
10000196,LARCENY - FROM BUILDING,2010-01-19T10:25:00Z,Cleared By Arrest,2010-01-17T00:30:00Z,,College of Business Admin.,512 N. 12th St.,UNL ACADEMIC BUILDING,150,0,A utility cart was stolen from CBA.
10000197,LARCENY - FROM BUILDING,2010-01-19T14:11:00Z,Inactive,2010-01-19T10:40:00Z,2010-01-19T10:55:00Z,Westbrook Music Building,"1104 ""R"" St.",UNL ACADEMIC BUILDING,70,0,"Wallet and contents taken from Westbrook Music Building, $70.00 loss."
10000198,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-19T15:48:00Z,Inactive,,,Agricultural Communications,3625 East Campus Loop,UNKNOWN,0,200,State vehicle damaged by another vehicle.
10000199,LARCENY - FROM BUILDING,2010-01-19T15:51:00Z,Inactive,2010-01-19T08:00:00Z,2010-01-19T14:00:00Z,Oldfather Hall,660 N. 12th St.,UNL ACADEMIC BUILDING,110,0,"Wallet and contents taken from Oldfater Hall, $110.00 loss."
10000200,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-19T18:07:00Z,Inactive,2010-01-19T18:07:00Z,2010-01-19T18:07:00Z,Westbrook Music Building,"1104 ""R"" St.",GOVT. PARKING LOT (UNL),0,300,UNL employee's personal vehicle damaged in the Westbrook parking lot.
10000201,TRESPASSING,2010-01-19T18:58:00Z,Cleared By Arrest,,,Union-City,"1400 ""R"" St.",UNL ACADEMIC BUILDING,0,0,Local transient previously banned and barred from UNL property discovered to be present within the Union.
10000210,DISTURBANCE - OTHER,2010-01-20T09:22:00Z,Inactive,2010-01-19T17:15:00Z,2010-01-19T17:30:00Z,University Health Center,"1500 ""U"" St.",HOSPITAL/CLINIC/ETC,0,0,A Faculty/Staff member from the Health Center received a disturbing phone call.
10000213,DISTURBANCE - OTHER,2010-01-20T12:15:00Z,Unfounded,2010-01-14T12:15:00Z,,Beadle Center,1901 Vine St.,UNL ACADEMIC BUILDING,0,0,UNL Student reported unwanted contact by another UNL student while in class.  Case was deemed unfounded.
10000214,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2010-01-20T13:20:00Z,Inactive,2010-01-20T09:45:00Z,2010-01-20T10:30:00Z,Business Services Complex,"1700 ""Y"" St.",GOVT. PARKING LOT (UNL),0,0,A Faculty/Staff member reported damage to his vehicle
10000215,LARCENY - STOLEN BIKE,2010-01-20T13:50:00Z,Inactive,2009-11-26T00:00:00Z,2009-12-18T18:00:00Z,The Village,1055 N. 16th St.,UNL APARTMENT,300,0,"Stolen, secured bicycle and cable lock from the Village."
10000221,LARCENY - STOLEN BIKE,2010-01-20T21:26:00Z,Inactive,2010-12-18T00:00:00Z,2010-01-12T08:00:00Z,Pound Hall,513 N. 17th St.,UNL RESIDENCE HALL,127,0,UNL student's secured bicycle and lock stolen from the south side of Pound.
10000225,NARCOTICS - POSSESSION,2010-01-21T04:13:00Z,Cleared By Arrest,2010-01-21T04:13:00Z,,Harper Hall,1150 N. 14th St.,UNL RESIDENCE HALL,0,0,Room contacted after a complaint of a marijuana odor.  One student cited for Poss of Marijuana < 1 oz; another student cited for Poss. of Marijuana < 1 oz and Poss. of Drug Paraphernalia.  Approx. 27 g and 1.3 g total weights
10000228,SUSPICIOUS PERSON,2010-01-21T11:02:00Z,Inactive,2010-01-17T12:30:00Z,2010-01-17T13:30:00Z,Architecture Hall,402 Stadium Drive,UNL ACADEMIC BUILDING,0,0,"Suspicious person in Architecture Hall library, may have stayed in library overnight."
10000230,ACCIDENTS - P.D. NOT REPORTABLE,2010-01-21T11:43:00Z,Inactive,2010-01-21T07:15:00Z,2010-01-21T11:43:00Z,N/A,N. 14th Street and Vine Street,GOVT. PARKING LOT (UNL),0,1000,"Two UNL employees involved in a two vehicle, non injury accident."
10000234,ALCOHOL - BUY/PROCURE FOR MINORS,2010-01-22T03:45:00Z,Cleared By Arrest,2010-01-22T03:45:00Z,2010-01-22T03:45:00Z,N/A,,UNL RESIDENCE HALL,0,0,"Eight UNL students contacted in a room after a noise complaint.  Alcohol found in the room at all were cited for MIP.  One student also cited for Procuring, Poss False ID, Minor Misrepresent Age.  .030, .013, .000, .066, .000, .030, .020, .058 BAC's."
10000235,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-22T09:19:00Z,Cleared By Arrest,2010-01-22T09:10:00Z,,14th & Avery Parking Garage,1111 N. 14th St.,GOVT. PARKING GARAGE (UNL),0,450,Accident involving two vehicles with one of them being parked and unattended. Responsible person drove off and parked in a different location. Driver was contacted and cited for leaving the scene of an accident. $400 damage.
10000308,DISTURBANCE - OTHER,2010-01-22T12:57:00Z,Cleared By Exception,,,Burr Hall,1701 N. 35th St.,UNL RESIDENCE HALL,0,0,UNL student reports unwanted contact from her mother.
10000237,SS - CHECK WELFARE OF PERSON,2010-01-22T13:22:00Z,Cleared By Exception,2010-01-22T13:22:00Z,,Campus Recreation Center,841 N. 14th St.,GOVT. PARKING LOT (UNL),0,0,Officer dispatched to the UNL Recreation Center on a check welfare of a female.  Unable to locate  female and a local broadcast was issued.
10000240,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-22T16:03:00Z,Cleared By Exception,2010-01-22T08:15:00Z,2010-01-22T15:20:00Z,N/A,1030 N. 16th St.,GOVT. PARKING LOT (UNL),0,1200,"Two vehicle, minor non injury accident in the parking lot."
10000238,DISTURBANCE - OTHER,2010-01-22T16:12:00Z,Cleared By Exception,2010-01-22T16:12:00Z,2010-01-22T16:12:00Z,N/A,,UNKNOWN,0,0,UNL staff receiving unwanted communications from a person who applied for a PhD program.
10000244,LARCENY - STOLEN BIKE,2010-01-22T19:38:00Z,Inactive,,,Cather Hall,609 N. 17th St.,UNL RESIDENCE HALL,80,20,Stolen BMX bicycle and cable lock from bike racks at Cather.
10000246,MEDICAL EMERGENCY,2010-01-22T20:04:00Z,Cleared By Exception,2010-01-22T20:04:00Z,,Selleck Quad,600 N. 15th St.,UNL RESIDENCE HALL,0,0,Male student vomiting. Refused transport.
10000249,LARCENY - FROM MOTOR VEHICLE,2010-01-22T22:09:00Z,Unfounded,2010-01-22T10:15:00Z,2010-01-22T16:00:00Z,N/A,745 N. 14th St.,STREET,346,0,Theft of two bags with misc. items from a limousine on display at the UNL rec center.
10000254,ALCOHOL - MINOR IN POSSESSION,2010-01-22T23:15:00Z,Cleared By Arrest,2010-01-22T23:15:00Z,,The Village,1055 N. 16th St.,UNL RESIDENCE HALL,0,0,5 UNL students cited for MIPC after being contacted inside room 409 for the smell of marijuana. 1 UNL student transported to Detox and not cited (BAC .150).
10000256,ALCOHOL - MINOR IN POSSESSION,2010-01-23T01:51:00Z,Cleared By Arrest,2010-01-23T01:51:00Z,2010-01-23T01:51:00Z,The Village,1055 N. 16th St.,UNL APARTMENT,0,0,UNL student contacted after roommate was concerned about her level of intoxication. BAC .128.
10000257,NARCOTICS - POSSESSION,2010-01-23T02:19:00Z,Cleared By Arrest,2010-01-23T02:19:00Z,,515 N 19th Parking Lot Vine to,515 N. 19th St.,GOVT. PARKING LOT (UNL),0,0,UNL student contacted in the parking lot and discovered to be in possession f marijuana.
10000258,ALCOHOL - BUY/PROCURE FOR MINORS,2010-01-23T05:35:00Z,Cleared By Arrest,2010-01-23T05:35:00Z,2010-01-23T05:35:00Z,N/A,935 New Hampshire St.,SINGLE FAMILY - off campus,0,0,Two UNL students were cited and released. One for MIP-C(refused) and one was cited for Maintaining Disorderly House and Procuring Alcohol to Minor.
10000259,ALCOHOL - MINOR IN POSSESSION,2010-01-23T05:44:00Z,Cleared By Arrest,2010-01-23T04:23:00Z,,Cather Hall,609 N. 17th St.,UNL RESIDENCE HALL,0,0,"UNL student contacted in the dorm lobby, discovered to be intoxicated. Transported to Detox. BAC .137."
10000262,MEDICAL EMERGENCY,2010-01-23T12:41:00Z,Cleared By Exception,2010-01-23T12:41:00Z,,The Village,1055 N. 16th St.,UNL RESIDENCE HALL,0,0,A UNL cut his finger and was transported by LFR at his request for stitches
