University of Nebraska-Lincoln Police,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
17000064,LARCENY - STOLEN BIKE,1/9/2017 10:28,Closed - Inactive,12/16/2016 10:00,1/7/2017 9:30,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$165.00,$0.00,Bicycle stolen from the bike racks on the northwest corner of the building.
17000067,ACCIDENTS - P.D. NOT REPORTABLE,1/9/2017 12:28,Closed - Inactive,,,N/A,969 N 16th (GOV'T PARKING LOT (UNL)),$0.00,"$2,800.00",Two vehicle non-injury accident. Information exchanged.
17000069,ACCIDENTS - P.D. NOT REPORTABLE,1/9/2017 14:30,Closed - Inactive,1/9/2017 14:30,1/9/2017 14:30,N/A,1870 N 37th St (GOV'T PARKING LOT (UNL)),$0.00,$750.00,Two vehicle non injury accident occurring parking lot 37th and Fair.
17000076,TRAFFIC - SUSPENDED DRIVER,1/9/2017 18:51,Closed - Cleared by Arrest-Adult,1/9/2017 18:51,,N/A,N 27TH ST & VINE ST (STREET),$0.00,$0.00,"Vehicle stopped and driver was found to be suspended, cited and released for same."
17000082,ALCOHOL - MINOR IN POSSESSION,1/10/2017 0:51,Closed - Cleared by Arrest-Adult,1/10/2017 0:51,,N/A,535 N. 16th ST (CHURCH/ETC.),$0.00,$0.00,Officers contacted an intoxicated male near campus. The intoxicated male was placed into civil protective custody due to alcohol intoxication and transported to The Bridge for further care. The male was cited/released for MIP-C and Acts Declared Unlawful.
17000083,ALCOHOL - DRUNK,1/10/2017 2:09,Closed - Non-Criminal Case,1/10/2017 2:09,,N/A,AVERY AVE & N 14TH ST (STREET),$0.00,$0.00,A Nebraska student was contacted by a UPD Officer due to alcohol intoxication. The student was placed into civil protective custody and transported to The Bridge for further care.
17000084,FIRE - FALSE ALARM,1/10/2017 3:11,Closed - Inactive,1/10/2017 3:11,,Sigma Phi Epsilon,601 North 16th St. (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,UPD and LFR were sent to a fire alarm at Sigma Phi Epsilon. It was determined that a pull station fire alarm was activated intentionally. Investigation continues.
17000085,ACCIDENTS - P.D. NOT REPORTABLE,1/10/2017 6:50,Closed - Non-Criminal Case,1/10/2017 6:45,,17th & R Parking Garage,300 North 17th St (STREET),$0.00,$0.00,University vehicle involved in minor collision due to icy road conditions.
17000092,DISTURBANCE - OTHER,1/10/2017 13:44,Closed - Inactive,1/10/2017 13:44,,College of Dentistry,"4000 East Campus Loop S (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non university affiliate was contacted for causing a disturbance in the Dental College. Party was escorted from the building and will be informed they are no longer a patient there.
17000095,ACCIDENTS - P.D. NOT REPORTABLE,1/10/2017 15:54,Closed - Non-Criminal Case,1/10/2017 8:05,,19th/Vine Parking Garage,1830 Vine St. (GOV'T PARKING GARAGE (UNL)),$0.00,$100.00,Vehicle slid on ice and struck parking gate arm.
17000101,DISTURBANCE - OTHER,1/10/2017 18:47,Open,,,N/A,(UNKNOWN),$0.00,$0.00,"Report of a disturbance, investigation continues."
17000102,FALSE INFORMATION - GIVEN TO OFC.,1/10/2017 21:52,Closed - Cleared by Arrest-Adult,1/10/2017 21:52,,N/A,N 10TH ST & NEW HAMPSHIRE ST (STREET),$0.00,$0.00,"A vehicle was stopped for a traffic violation. A non-affiliate was cited/lodged for False Information and cited/released for DUS, White Light to the Rear and Possession of Marijuana < 1 oz."
17000104,FALSE INFORMATION - GIVEN TO OFC.,1/11/2017 0:56,Closed - Cleared by Arrest-Adult,1/11/2017 0:56,,The 50-50,1801 R Street (MULTI-DWELLING (7 + UNITS) off campus),$0.00,$0.00,A noise complaint occurring at the 50/50 apartments. A Nebraska student was cited/released for False Reporting.
17000107,DISTURBANCE - OTHER,1/11/2017 12:33,Closed - Inactive,1/11/2017 11:55,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,University student received unwanted/disturbing phone call to their personal cell phone.
17000108,NARCOTICS - POSSESSION,1/11/2017 12:42,Closed - Cleared by Arrest-Adult,1/11/2017 12:42,,N/A,N 27TH ST & DUDLEY ST (STREET),$0.00,$0.00,Non university affiliate was contacted on a traffic stop and found to be in possession of marijuana. Cited and released for above offense. (8.8 grams)
17000109,SS - CHECK WELFARE OF PERSON,1/11/2017 13:26,Closed - Non-Criminal Case,,,University Health Center,"1500 U St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Welfare fair  of student referred to CAPS
17000111,TRAFFIC - SUSPENDED DRIVER,1/11/2017 14:19,Closed - Cleared by Arrest-Adult,1/11/2017 14:19,,N/A,N ANTELOPE VALLEY PKWY & MILITARY RD (STREET),$0.00,$0.00,A non-affiliate was cited/released for DUS.
17000116,ALCOHOL - MINOR IN POSSESSION,1/12/2017 0:27,Closed - Cleared by Arrest-Adult,1/12/2017 0:27,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,A 19 year old student was placed into civil protective custody and transported to The Bridge with a BAC of .235.  Cited/released for MIP-C.
17000117,ALCOHOL - DRUNK,1/12/2017 0:46,Closed - Non-Criminal Case,1/12/2017 0:46,,N/A,Q ST & N 16TH ST (SIDEWALK),$0.00,$0.00,"Three University students were placed into civil protective custody and transported to The Bridge for safe detoxification (BACs: .126, .143, and .256)."
17000120,SS - OTHER,1/12/2017 9:44,Closed - Non-Criminal Case,1/8/2017 8:00,1/12/2017 9:30,Mabel Lee Fields IPC,1433 “W” Street (GOV'T LOT/FIELD (UNL)),$0.00,$0.00,University staff reported disturbing images were made in the snow on a university rec field.
17000129,SUSPICIOUS PERSON,1/12/2017 22:01,Closed - Inactive,1/11/2017 8:10,1/11/2017 8:30,Henzlik Hall,1430 Vine St (SIDEWALK),$0.00,$0.00,UPD received a belated report of an eccentric contact from an unidentified male party.  Investigation continues.
17000130,ASSAULT - NON DOMESTIC,1/12/2017 23:51,Closed - Inactive,1/12/2017 23:51,,University Suites,"1780 ""R"" Street (UNL APARTMENT)",$0.00,$0.00,A University student was victim of an assault with non-life threatening injuries.  Two PRs identified.  Investigation continues.
17000147,ALCOHOL - MINOR IN POSSESSION,1/13/2017 0:53,Closed - Cleared by Arrest-Adult,1/14/2017 1:41,,N/A,N 16TH ST & X ST (STREET),$0.00,$0.00,"Two minor students were contacted as passengers of a traffic stop and ultimately cited/released to a sober party for MIP-C (BACs: .116, and .203)."
17000137,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/13/2017 9:07,Closed - Inactive,1/13/2017 8:10,,The 50-50,1801 R Street (GOV'T PARKING GARAGE (UNL)),$0.00,$25.00,University student backed into a parking garage arm and caused damage. Issue is being handled by parking services.
17000138,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/13/2017 9:22,Closed - Cleared by Arrest-Adult,1/9/2017 14:39,,The 50-50,1801 R Street (GOV'T PARKING GARAGE (UNL)),$0.00,$650.00,University student struck a bollard in a parking garage with their vehicle causing damage to the bollard.
17000141,LITTERING,1/13/2017 10:11,Closed - Inactive,1/6/2017 17:00,1/13/2017 8:00,Alexander Building,1410 Q St (GOV'T PARKING LOT (UNL)),$0.00,$0.00,University staff reported an ongoing littering issue in a parking lot.
17000139,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/13/2017 10:13,Closed - Inactive,1/10/2017 18:08,,The 50-50,1801 R Street (GOV'T PARKING GARAGE (UNL)),$0.00,$50.00,A university owned property damaged by a vehicle leaving a parking garage. Parking services issued citation for damage.
17000145,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/13/2017 14:19,Closed - Inactive,1/13/2017 14:16,,19th/Vine Parking Garage,1830 Vine St. (GOV'T PARKING GARAGE (UNL)),$0.00,$35.00,A student caused approx. $35 in damage to a parking lot control gate.
17000153,LARCENY - FROM BUILDING,1/14/2017 13:57,Closed - Non-Criminal Case,1/14/2017 13:00,1/14/2017 13:50,Sapp Recreation Facility,"841 North 14th St (UNL SUPPORT FACILITY (office, service))",$100.00,$0.00,A belated theft report occurring at the Campus Rec Center. A Nebraska student reported several items taken from his locker near the pool. Investigation continues.
17000159,FALSE INFORMATION - GIVEN TO OFC.,1/15/2017 1:30,Closed - Cleared by Arrest-Adult,1/15/2017 3:27,,N/A,N 33RD ST & HUNTINGTON AVE (STREET),$0.00,$0.00,"Vehicle was stopped for expired tags. The Driver was cited/released for No License and the passenger was cited/released for No Insurance, No Valid Registration and Lodged for False Statement and an active warrant."
17000158,LARCENY - OTHER OR FROM OPEN AREA,1/15/2017 1:45,Closed - Cleared by Arrest-Adult,1/15/2017 1:45,,14th & Avery Parking Garage,1111 North 14th St (SIDEWALK),$0.00,$0.00,A report of a male attempting to steal a bicycle near the Avery Garage bike racks. A non-affiliate was contacted and ultimately cited/lodged for Criminal Mischief.
17000160,ALCOHOL - MINOR IN POSSESSION,1/15/2017 2:33,Closed - Cleared by Arrest-Adult,1/15/2017 2:33,,UNL Police,"300 North 17th St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,A report of an intoxicated female at UPD's front counter. A non-affiliate female was brought in to UPD's front lobby because of alcohol intoxication. The female was placed into civil protective custody and transported to The Bridge for further care. The female was cited/released for MIP.
17000168,MEDICAL EMERGENCY,1/15/2017 21:50,Closed - Non-Criminal Case,1/15/2017 21:50,,The Village,1055 North 16 St. (SIDEWALK),$0.00,$0.00,A report of a slip and fall occurring outside of The Village North. A Nebraska student slipped on the ice and suffered a shoulder injury. The student transported themselves to a local hospital for further care.
17000169,MEDICAL EMERGENCY,1/16/2017 1:17,Closed - Non-Criminal Case,1/16/2017 2:49,,Selleck Quad,600 North 15th St (SIDEWALK),$0.00,$0.00,A report of a Nebraska student who slipped and fell outside of Selleck Quad. The student was transported by LFR for a minor right arm injury.
17000171,ALCOHOL - MINOR IN POSSESSION,1/16/2017 1:25,Closed - Cleared by Arrest-Adult,1/16/2017 1:25,,UNL Police,"300 North 17th St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Student cited for Minor in Possession and taken to The Bridge after he walked into the UPD front lobby.  His PBT showed a BAC of .216.
17000172,ALCOHOL - DRUNK,1/16/2017 3:09,Closed - Non-Criminal Case,1/16/2017 3:09,,Kauffman Academic Residential Center,630 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,Officers were dispatched to a residence hall on a check welfare of an intoxicated person (.123 BAC). He was left in the care of his roommate
17000176,VANDALISM - OTHER,1/16/2017 14:26,Closed - Unfounded,1/15/2017 20:00,1/15/2017 21:00,N/A,"N 14TH ST & VINE ST (UNL SUPPORT FACILITY (office, service))",$0.00,$200.00,Student reported their tire being slashed by Mabel lee Hall.
17000177,NARCOTICS - POSSESSION,1/16/2017 23:40,Closed - Cleared by Arrest-Adult,1/16/2017 23:40,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Two students cited/released for narcotics offenses and one student cited/released for possessing a false ID.
17000178,NARCOTICS - POSSESSION,1/16/2017 23:52,Closed - Cleared by Arrest-Adult,1/16/2017 23:52,,The Courtyards,733 North  17th  St. (UNL RESIDENCE HALL),$0.00,$0.00,Student was cited/released for Possession of Marijuana < 1 oz.
17000181,ALCOHOL - MINOR IN POSSESSION,1/17/2017 2:04,Closed - Cleared by Arrest-Adult,1/17/2017 2:04,,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,Student arrested on two warrants and cited for MIP-C (184 BAC).
17000183,ALCOHOL - MINOR IN POSSESSION,1/17/2017 3:26,Closed - Cleared by Arrest-Adult,1/17/2017 3:26,,University Suites,"1780 ""R"" Street (UNL APARTMENT)",$0.00,$0.00,Six University of Nebraska students were cited/released for Minor in Possession of Alcohol.  One was taken to The Bridge.
17000191,TRAFFIC - SUSPENDED DRIVER,1/17/2017 16:19,Closed - Cleared by Arrest-Adult,1/17/2017 16:19,,N/A,Q ST & N 17TH ST (STREET),$0.00,$0.00,"Vehicle stopped and driver found to be revoked, cited and released for same."
17000192,NARCOTICS - POSSESSION,1/17/2017 20:11,Closed - Cleared by Arrest-Adult,1/17/2017 20:11,1/17/2017 20:11,N/A,ANTELOPE VALLEY PARKWAY & SALT CREEK RD (STREET),$0.00,$0.00,"Vehicle stopped for white light to rear, driver found to be in Possession of marijuana, cited for same and released."
17000194,ALCOHOL - DRUNK,1/17/2017 23:47,Closed - Non-Criminal Case,1/17/2017 23:47,,The 50-50,1801 R Street (UNL APARTMENT),$0.00,$0.00,A report of an intoxicated male on the 10th floor of the 50/50 building. A non-affiliate was placed into civil protective custody due to alcohol intoxication. The individual was transported to The bridge for further care.
17000200,DISTURBANCE - OTHER,1/18/2017 15:00,Closed - Inactive,10/22/2016 12:00,1/18/2017 15:00,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Disturbance between two students.
17000202,ASSAULT - NON DOMESTIC,1/18/2017 16:50,Closed - Cleared by Arrest-Adult,1/18/2017 16:50,,University Suites,"1780 ""R"" Street (UNL RESIDENCE HALL)",$0.00,$0.00,"UNL student arrested for Disturbance, Third Degree Assault and Resisting Arrest."
17000205,DISTURBANCE - OTHER,1/18/2017 17:52,Closed - Cleared by Arrest-Adult,1/18/2017 17:52,,Mabel Lee Hall,"840 North 14th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Disturbance between two non-affiliates in Mabel Lee Hall.
17000209,MEDICAL EMERGENCY,1/19/2017 1:38,Closed - Non-Criminal Case,1/19/2017 1:38,,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00,$0.00,A University student fell victim to a non-life threatening medical emergency and was transported to a local hospital by LFR.
17000210,ALCOHOL - MINOR IN POSSESSION,1/19/2017 4:07,Closed - Cleared by Arrest-Adult,1/19/2017 4:07,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A 19 year old student was cited/released to a sober party for MIP-C (BAC: .141).
17000221,NARCOTICS - POSSESSION,1/19/2017 23:53,Closed - Cleared by Arrest-Adult,1/19/2017 23:53,,515 N 19th Parking Lot Vine to,515 North 19th St. (GOV'T PARKING LOT (UNL)),$0.00,$0.00,A University student was contacted on a narcotics complaint and ultimately cited/released for Possession of Drug Paraphernalia.
17000223,ALCOHOL - MINOR IN POSSESSION,1/20/2017 0:18,Closed - Cleared by Arrest-Adult,1/20/2017 0:18,,N/A,VINE ST & N 14TH ST (SIDEWALK),$0.00,$0.00,"Three (minor) University students were contacted and cited/released for MIP-C (BACs: .146, .227, and .227).  Two of the students were transported to The Bridge for safe detoxification."
17000224,NARCOTICS - POSSESSION,1/20/2017 0:31,Closed - Cleared by Arrest-Adult,1/20/2017 0:31,,N/A,"3801 W. ""O"" St. (COUNTY – OTHER   (Event Center))",$0.00,$0.00,A University student was contacted and arrested for an active warrant.  Cited/released for Possession of Marijuana (2.6 g).
17000227,OUTSIDE - O.P.S. OTHER,1/20/2017 5:29,Closed - Inactive,,,N/A,City of Lincoln (UNKNOWN),$0.00,$0.00,UPD receiving information reference concerning social media posts by a university student occurring off campus.
17000234,ASSAULT - DOMESTIC,1/20/2017 13:55,Closed - Cleared by Arrest-Adult,1/12/2017 23:00,,N/A,1943 K St (DUPLEX – off campus),$0.00,$0.00,A student reported concerns another student may have been harmed physically. The investigation is still on-going.
17000233,ACCIDENTS - P.D. NOT REPORTABLE,1/20/2017 14:32,Closed - Non-Criminal Case,1/17/2017 15:30,,17th & R Parking Garage,300 North 17th St (GOV'T PARKING GARAGE (UNL)),$0.00,"$1,000.00",Nebraska student reported an accident occurring in a parking garage.
17000241,SS - CHECK WELFARE OF PERSON,1/21/2017 0:51,Closed - Cleared by Arrest-Adult,1/21/2017 0:51,,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,An intoxicated 18 year old female was evaluated by UPD and left in the care of a sober friend. No citations issued (BAC: .130).
17000242,ALCOHOL - MINOR IN POSSESSION,1/21/2017 1:18,Closed - Cleared by Arrest-Adult,1/21/2017 1:18,,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated female at a University dorm. The student was cited/released for MIP-C and transported to detox for further care.
17000243,NARCOTICS - POSSESSION,1/21/2017 2:46,Closed - Cleared by Arrest-Adult,1/21/2017 2:46,,Phi Gamma Delta,1425 R St. (GOV'T PARKING LOT (UNL)),$0.00,$0.00,"A 20 year old student was contacted on a narcotics complaint.  Cited/released to The Bridge for MIP-C (BAC: .111), Possession of Marijuana < 1 Ounce, Possession of Drug Paraphernalia, Obstructing a Peace Officer, and Possession of a False ID."
17000244,MEDICAL EMERGENCY,1/21/2017 5:32,Closed - Non-Criminal Case,1/21/2017 5:32,,Schramm Hall,1130 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A student was transported to a local hospital by LFR with a non-life threatening condition after falling.
17000255,ALCOHOL - MINOR IN POSSESSION,1/22/2017 0:06,Closed - Cleared by Arrest-Adult,1/22/2017 0:06,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A 19 year old student was placed into civil protective custody and transported to The Bridge with a BAC of .249.  Cited/released for MIP-C.
17000257,ALCOHOL - MINOR IN POSSESSION,1/22/2017 1:11,Closed - Cleared by Arrest-Adult,1/22/2017 1:11,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,"An intoxicated 18 year old student was placed into civil protective custody and transported to The Bridge with a BAC of .283.  CIted/released for MIP-C, and Possess False ID."
17000256,MEDICAL EMERGENCY,1/22/2017 1:16,Closed - Non-Criminal Case,1/22/2017 1:16,,University Suites,"1780 ""R"" Street (UNL RESIDENCE HALL)",$0.00,$0.00,An 18 year old female was treated for possible alcohol poisoning by LFR on scene and released to her mother.  No citations issued.
17000248,NARCOTICS - OTHER,1/22/2017 23:52,Closed - Cleared by Arrest-Adult,1/21/2017 23:52,,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00,$0.00,A narcotics tip was received and is currently being investigated by The UPD.
17000273,DISTURBANCE - OTHER,1/23/2017 7:54,Closed - Inactive,1/21/2017 14:00,1/21/2017 16:00,Phi Gamma Delta,1425 R St. (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,Report of a disturbance occurring at the fraternity over the weekend.
17000269,VANDALISM - OTHER,1/23/2017 8:16,Closed - Inactive,1/20/2017 17:00,1/23/2017 8:16,UNL Children's Center,2225 W St. (GOV'T PARKING LOT (UNL)),$0.00,$100.00,Bushes damaged on the north side of the building.
17000270,DISTURBANCE - OTHER,1/23/2017 8:30,Closed - Cleared by Exception,1/14/2017 1:18,1/21/2017 1:43,UNL Police,"300 North 17th St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Report of unwanted emails being sent to staff members.
17000277,NARCOTICS - POSSESSION,1/23/2017 12:45,Closed - Cleared by Arrest-Adult,1/23/2017 12:45,,Outdoor Adventures Center,930 N 14TH ST (SIDEWALK),$0.00,$0.00,Non-university affiliate was cited and released for possession of marijuana < 1 ounce and possession of drug paraphernalia.
17000279,DISTURBANCE - OTHER,1/23/2017 16:51,Closed - Inactive,,,N/A,(INTERNET/CYBERSPACE),$0.00,$0.00,Student reporting threats being made to another student.
17000284,ALCOHOL - DWI,1/23/2017 23:57,Closed - Cleared by Arrest-Juvenile,1/23/2017 23:57,,N/A,N 16TH ST & VINE ST (STREET),$0.00,$0.00,"A vehicle was stopped for a traffic violation. A Nebraska student was cited/released for .02 violation and Wrong Way on a One Way. The student was also referred to the County Attorney for the following charges: Possession of Drug Paraphernalia, Open Container and MIP."
17000285,MISC - OTHER,1/24/2017 1:40,Closed - Non-Criminal Case,1/24/2017 1:40,,Hamilton Hall,639 North 12th St (UNL ACADEMIC BUILDING),$0.00,$0.00,A report of a heating plate left on at Hamilton Hall. A glass Pyrex beaker with unknown contents inside was found to be shattered caused by the heating plate.
17000287,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/24/2017 9:21,Closed - Inactive,1/22/2017 15:47,1/24/2017 9:15,The 50-50,1801 R Street (GOV'T PARKING GARAGE (UNL)),$0.00,$100.00,Nebraska student reported damage to their vehicle while parked on campus.
17000290,SEX OFFENSE - OTHER,1/24/2017 15:23,Closed - Inactive,1/24/2017 15:23,,Neihardt Residence Center,540 North 16th St (UNL RESIDENCE HALL),$0.00,$0.00,Student requested that a safety plan be set up for them.
17000300,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/25/2017 9:04,Closed - Non-Criminal Case,1/25/2017 9:04,1/25/2017 9:04,19th/Vine Parking Garage,1830 Vine St. (GOV'T PARKING GARAGE (UNL)),$0.00,$25.00,University student's vehicle slid on the snow and into a parking arm at a university garage.
17000306,FRAUD - CON GAMES/DECEPTION/FALSE    PRETENSE/OTHER,1/25/2017 11:57,Closed - Inactive,1/16/2017 12:45,1/20/2017 16:45,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$500.00,$0.00,University student fell victim of a fraud while attempting to rent an apartment online.
17000307,TRAFFIC - SUSPENDED DRIVER,1/25/2017 17:00,Closed - Cleared by Arrest-Adult,1/25/2017 17:00,,N/A,N 27TH ST & FAIR ST (STREET),$0.00,$0.00,"Vehicle stopped for expired registration, driver found to be suspended. Cited and released foe DUS, and No Valid Reistration"
17000311,TRAFFIC - SUSPENDED DRIVER,1/25/2017 20:11,Closed - Cleared by Arrest-Adult,1/25/2017 20:11,,N/A,SALT CREEK RDWY & N 14TH ST (STREET),$0.00,$0.00,Vehicle stopped and driver found to be suspended. Cited for DUS and No Proof of Insurance.
17000312,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/25/2017 20:25,Closed - Inactive,1/25/2017 19:49,1/25/2017 19:49,Staples Child Development Laboratory,1855 North 35th St (GOV'T PARKING LOT (UNL)),$0.00,$10.00,Property damage accident to fence at Ruth Staples Child Development Lab.
17000314,TRAFFIC - SUSPENDED DRIVER,1/25/2017 21:16,Closed - Cleared by Arrest-Adult,1/25/2017 21:16,,N/A,N ANTELOPE VALLEY PKWY & Salt Creek RDWY (STREET),$0.00,$0.00,Vehicle stopped and driver found to be suspended. Cited for DUS and released.
17000315,TRAFFIC - SUSPENDED DRIVER,1/25/2017 21:55,Closed - Cleared by Arrest-Adult,1/25/2017 21:55,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,"Vehicle stopped for Red Light Violation, driver found to be suspend. Cited for Red Light Violation and DUS and released."
17000319,VANDALISM - OTHER,1/26/2017 9:50,Closed - Inactive,1/26/2017 2:14,,Morrison Center,"4240 Fair Street (UNL SUPPORT FACILITY (office, service))",$0.00,"$1,300.00",University staff reported a window pane damaged by unknown cause.
OS17002,SEX OFFENSE - RAPE,1/26/2017 11:08,Closed - Inactive,1/15/2017 22:00,1/16/2017 12:00,Harper Hall,On-campus Student Housing,$0.00,$0.00,Female reported waking up with a male attempting to have unwanted sex with her.
OS17001,SEX OFFENSE - RAPE,1/26/2017 11:13,Closed - Inactive,1/16/2017 22:00,1/17/2017 12:00,Selleck Hall,On-campus Student Housing,$0.00,$0.00,A male student forced a female student to have unwanted sex.
17000320,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/26/2017 12:46,Closed - Non-Criminal Case,1/26/2017 11:48,1/26/2017 12:22,14th & Avery Parking Garage,1111 North 14th St (GOV'T PARKING GARAGE (UNL)),$0.00,$100.00,Vehicle rolled out of parking stall and hit another vehicle.
17000322,DISTURBANCE - OTHER,1/26/2017 16:35,Closed - Non-Criminal Case,,,UNL Police,"300 North 17th St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Report of a students behavior off campus.
